{'timestamp': Timestamp('2024-05-29 19:48:36.286000'), 'Close': 67358.66, 'ma1': 67355.825, 'ma2': 67362.18115384616, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -6.356153846165398}
{'timestamp': Timestamp('2024-05-29 19:48:38.647000'), 'Close': 67358.67, 'ma1': 67354.97583333334, 'ma2': 67361.36076923077, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -6.384935897425748}
{'timestamp': Timestamp('2024-05-29 19:48:40.675000'), 'Close': 67360.38, 'ma1': 67354.27, 'ma2': 67360.60576923077, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -6.335769230761798}
{'timestamp': Timestamp('2024-05-29 19:48:42.808000'), 'Close': 67364.0, 'ma1': 67353.86583333334, 'ma2': 67359.99038461539, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -6.1245512820460135}
{'timestamp': Timestamp('2024-05-29 19:48:44.828000'), 'Close': 67363.99, 'ma1': 67353.46, 'ma2': 67359.37461538463, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -5.9146153846231755}
{'timestamp': Timestamp('2024-05-29 19:48:47.046000'), 'Close': 67363.99, 'ma1': 67353.73333333334, 'ma2': 67359.18730769231, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -5.453974358970299}
{'timestamp': Timestamp('2024-05-29 19:48:49.383000'), 'Close': 67364.0, 'ma1': 67355.13916666668, 'ma2': 67359.0003846154, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -3.8612179487245157}
{'timestamp': Timestamp('2024-05-29 19:48:52.293000'), 'Close': 67364.0, 'ma1': 67356.54583333334, 'ma2': 67358.81307692308, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -2.2672435897402465}
{'timestamp': Timestamp('2024-05-29 19:48:54.696000'), 'Close': 67363.99, 'ma1': 67357.95083333334, 'ma2': 67358.62576923078, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -0.6749358974484494}
{'timestamp': Timestamp('2024-05-29 19:48:57.219000'), 'Close': 67363.99, 'ma1': 67359.56833333334, 'ma2': 67358.43846153846, 'positions': 1.0, 'signals': 'Buy', 'oscillator': 1.1298717948811827}
{'timestamp': Timestamp('2024-05-29 19:48:59.384000'), 'Close': 67367.76, 'ma1': 67361.5, 'ma2': 67358.69, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 2.8099999999976717}
{'timestamp': Timestamp('2024-05-29 19:49:01.725000'), 'Close': 67367.99, 'ma1': 67363.45166666668, 'ma2': 67359.2276923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.223974358974374}
{'timestamp': Timestamp('2024-05-29 19:49:04.385000'), 'Close': 67368.0, 'ma1': 67364.23, 'ma2': 67359.76576923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.46423076922656}
{'timestamp': Timestamp('2024-05-29 19:49:06.738000'), 'Close': 67368.0, 'ma1': 67365.00749999999, 'ma2': 67360.30423076924, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.703269230754813}
{'timestamp': Timestamp('2024-05-29 19:49:08.952000'), 'Close': 67367.99, 'ma1': 67365.64166666666, 'ma2': 67360.64038461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5.001282051278395}
{'timestamp': Timestamp('2024-05-29 19:49:11.385000'), 'Close': 67367.99, 'ma1': 67365.97416666667, 'ma2': 67360.60692307692, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5.367243589746067}
{'timestamp': Timestamp('2024-05-29 19:49:13.897000'), 'Close': 67368.0, 'ma1': 67366.30833333333, 'ma2': 67360.57423076924, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5.734102564092609}
{'timestamp': Timestamp('2024-05-29 19:49:16.386000'), 'Close': 67368.0, 'ma1': 67366.6425, 'ma2': 67360.54153846155, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.100961538453703}
{'timestamp': Timestamp('2024-05-29 19:49:18.571000'), 'Close': 67367.99, 'ma1': 67366.97499999999, 'ma2': 67360.50807692308, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.4669230769068236}
{'timestamp': Timestamp('2024-05-29 19:49:21.007000'), 'Close': 67374.28, 'ma1': 67367.83166666667, 'ma2': 67361.03, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.801666666666279}
{'timestamp': Timestamp('2024-05-29 19:49:23.045000'), 'Close': 67375.0, 'ma1': 67368.74916666666, 'ma2': 67362.10192307693, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.647243589730351}
{'timestamp': Timestamp('2024-05-29 19:49:25.233000'), 'Close': 67389.83, 'ma1': 67370.90250000001, 'ma2': 67363.74461538461, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7.15788461540069}
{'timestamp': Timestamp('2024-05-29 19:49:27.821000'), 'Close': 67389.83, 'ma1': 67372.74166666667, 'ma2': 67365.38692307692, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7.354743589748978}
{'timestamp': Timestamp('2024-05-29 19:49:29.985000'), 'Close': 67389.84, 'ma1': 67374.5625, 'ma2': 67367.1276923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7.434807692305185}
{'timestamp': Timestamp('2024-05-29 19:49:32.386000'), 'Close': 67399.98, 'ma1': 67377.2275, 'ma2': 67369.25846153847, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7.969038461524178}
{'timestamp': Timestamp('2024-05-29 19:49:34.481000'), 'Close': 67399.99, 'ma1': 67379.89333333333, 'ma2': 67371.39, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 8.503333333326736}
{'timestamp': Timestamp('2024-05-29 19:49:36.714000'), 'Close': 67399.98, 'ma1': 67382.55916666667, 'ma2': 67372.97923076923, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 9.579935897447285}
{'timestamp': Timestamp('2024-05-29 19:49:38.827000'), 'Close': 67399.99, 'ma1': 67385.22583333334, 'ma2': 67374.56846153847, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 10.65737179487769}
{'timestamp': Timestamp('2024-05-29 19:49:41.339000'), 'Close': 67399.99, 'ma1': 67387.89166666668, 'ma2': 67376.09192307692, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 11.799743589755963}
{'timestamp': Timestamp('2024-05-29 19:49:43.414000'), 'Close': 67399.98, 'ma1': 67390.55666666667, 'ma2': 67377.47576923078, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 13.080897435895167}
{'timestamp': Timestamp('2024-05-29 19:49:45.644000'), 'Close': 67399.99, 'ma1': 67393.22333333333, 'ma2': 67378.86038461539, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 14.362948717942345}
{'timestamp': Timestamp('2024-05-29 19:49:47.902000'), 'Close': 67399.98, 'ma1': 67395.365, 'ma2': 67380.24461538461, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 15.120384615394869}
{'timestamp': Timestamp('2024-05-29 19:49:50.283000'), 'Close': 67396.72, 'ma1': 67397.175, 'ma2': 67381.50307692307, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 15.671923076937674}
{'timestamp': Timestamp('2024-05-29 19:49:52.437000'), 'Close': 67396.72, 'ma1': 67397.74916666666, 'ma2': 67382.76153846153, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 14.987628205126384}
{'timestamp': Timestamp('2024-05-29 19:49:54.442000'), 'Close': 67396.72, 'ma1': 67398.32333333333, 'ma2': 67384.02038461539, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 14.302948717944673}
{'timestamp': Timestamp('2024-05-29 19:49:57.388000'), 'Close': 67396.71, 'ma1': 67398.89583333333, 'ma2': 67385.27884615384, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 13.616987179484568}
{'timestamp': Timestamp('2024-05-29 19:49:59.871000'), 'Close': 67396.71, 'ma1': 67398.62333333334, 'ma2': 67386.39230769231, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 12.231025641027372}
{'timestamp': Timestamp('2024-05-29 19:50:02.390000'), 'Close': 67396.71, 'ma1': 67398.34999999999, 'ma2': 67387.49692307692, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 10.853076923071058}
{'timestamp': Timestamp('2024-05-29 19:50:04.499000'), 'Close': 67396.71, 'ma1': 67398.0775, 'ma2': 67388.60115384615, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 9.476346153853228}
{'timestamp': Timestamp('2024-05-29 19:50:06.740000'), 'Close': 67396.72, 'ma1': 67397.80500000001, 'ma2': 67389.70576923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 8.099230769235874}
{'timestamp': Timestamp('2024-05-29 19:50:08.843000'), 'Close': 67411.99, 'ma1': 67398.80500000001, 'ma2': 67391.39807692308, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 7.406923076923704}
{'timestamp': Timestamp('2024-05-29 19:50:11.254000'), 'Close': 67411.99, 'ma1': 67399.80583333333, 'ma2': 67393.09038461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.715448717950494}
{'timestamp': Timestamp('2024-05-29 19:50:13.389000'), 'Close': 67412.0, 'ma1': 67400.80666666667, 'ma2': 67394.7826923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.023974358977284}
{'timestamp': Timestamp('2024-05-29 19:50:16.095000'), 'Close': 67404.42, 'ma1': 67401.17666666668, 'ma2': 67396.18346153846, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.993205128223053}
{'timestamp': Timestamp('2024-05-29 19:50:18.390000'), 'Close': 67411.59, 'ma1': 67402.41583333335, 'ma2': 67397.86038461539, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.5554487179615535}
{'timestamp': Timestamp('2024-05-29 19:50:20.408000'), 'Close': 67411.59, 'ma1': 67403.655, 'ma2': 67399.29538461538, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.3596153846156085}
{'timestamp': Timestamp('2024-05-29 19:50:22.445000'), 'Close': 67411.6, 'ma1': 67404.895, 'ma2': 67400.70307692308, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.191923076927196}
{'timestamp': Timestamp('2024-05-29 19:50:24.544000'), 'Close': 67411.6, 'ma1': 67406.13583333335, 'ma2': 67401.5403846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.595448717955151}
{'timestamp': Timestamp('2024-05-29 19:50:26.644000'), 'Close': 67411.6, 'ma1': 67407.37666666666, 'ma2': 67402.3776923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 4.998974358968553}
{'timestamp': Timestamp('2024-05-29 19:50:29.307000'), 'Close': 67410.26, 'ma1': 67408.50583333334, 'ma2': 67403.16307692308, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5.3427564102603355}
{'timestamp': Timestamp('2024-05-29 19:50:31.349000'), 'Close': 67409.56, 'ma1': 67409.57666666668, 'ma2': 67403.53153846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.04512820513628}
{'timestamp': Timestamp('2024-05-29 19:50:33.809000'), 'Close': 67409.56, 'ma1': 67410.64666666667, 'ma2': 67403.89961538462, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.747051282043685}
{'timestamp': Timestamp('2024-05-29 19:50:35.997000'), 'Close': 67409.57, 'ma1': 67410.44499999999, 'ma2': 67404.26846153846, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 6.176538461528253}
{'timestamp': Timestamp('2024-05-29 19:50:38'), 'Close': 67398.0, 'ma1': 67409.27916666666, 'ma2': 67404.19192307693, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 5.0872435897326795}
{'timestamp': Timestamp('2024-05-29 19:50:40.391000'), 'Close': 67396.73, 'ma1': 67408.00666666667, 'ma2': 67404.06653846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 3.940128205125802}
{'timestamp': Timestamp('2024-05-29 19:50:42.540000'), 'Close': 67396.73, 'ma1': 67407.36583333333, 'ma2': 67403.94153846154, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 3.424294871787424}
{'timestamp': Timestamp('2024-05-29 19:50:44.640000'), 'Close': 67396.72, 'ma1': 67406.12666666666, 'ma2': 67403.81576923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 2.3108974358910928}
{'timestamp': Timestamp('2024-05-29 19:50:46.704000'), 'Close': 67396.73, 'ma1': 67404.88833333334, 'ma2': 67403.69076923077, 'positions': 1.0, 'signals': 'Sell', 'oscillator': 1.1975641025637742}
{'timestamp': Timestamp('2024-05-29 19:50:48.708000'), 'Close': 67396.71, 'ma1': 67403.6475, 'ma2': 67403.69038461539, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -0.04288461538089905}
{'timestamp': Timestamp('2024-05-29 19:50:51.045000'), 'Close': 67396.71, 'ma1': 67402.40666666666, 'ma2': 67403.69, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -1.2833333333401242}
{'timestamp': Timestamp('2024-05-29 19:50:53.392000'), 'Close': 67387.01, 'ma1': 67400.3575, 'ma2': 67403.31653846154, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -2.959038461543969}
{'timestamp': Timestamp('2024-05-29 19:50:55.603000'), 'Close': 67387.0, 'ma1': 67398.41916666667, 'ma2': 67402.94307692308, 'positions': 0.0, 'signals': 'Sell', 'oscillator': -4.523910256408271}
