open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-24 16:00:00,0.7139,0.7181,0.7079,0.7143,26034542.0,2024-04-24 16:59:59.999,18587453.22960,40171,13006308,9288088.69970,0
2024-04-24 17:00:00,0.7142,0.7246,0.7133,0.7188,20995113.0,2024-04-24 17:59:59.999,15092208.31910,30347,10123215,7279474.98600,0
2024-04-24 18:00:00,0.7188,0.7205,0.7085,0.7089,22173086.0,2024-04-24 18:59:59.999,15862734.35270,30331,10225515,7318480.33600,0
2024-04-24 19:00:00,0.7089,0.7178,0.703,0.7152,21701067.0,2024-04-24 19:59:59.999,15438123.08100,33120,11142964,7930041.28070,0
2024-04-24 20:00:00,0.7151,0.7176,0.7081,0.7105,12759027.0,2024-04-24 20:59:59.999,9084372.83920,23576,6625573,4717024.70890,0
2024-04-24 21:00:00,0.7105,0.7154,0.7059,0.7153,10090787.0,2024-04-24 21:59:59.999,7174580.29880,19101,5187559,3689886.56590,0
2024-04-24 22:00:00,0.7153,0.7154,0.7012,0.7031,13867553.0,2024-04-24 22:59:59.999,9815469.92000,24759,6380271,4515056.20420,0
2024-04-24 23:00:00,0.7032,0.7054,0.6973,0.7048,19509108.0,2024-04-24 23:59:59.999,13680831.62650,32596,9250309,6486178.89480,0
2024-04-25 00:00:00,0.7048,0.714,0.7031,0.7108,14009151.0,2024-04-25 00:59:59.999,9922080.52870,25236,7487950,5302382.98130,0
2024-04-25 01:00:00,0.7107,0.7153,0.7046,0.7046,10912031.0,2024-04-25 01:59:59.999,7765646.75190,22912,5724197,4074750.44930,0
2024-04-25 02:00:00,0.7045,0.7131,0.6986,0.7121,18313034.0,2024-04-25 02:59:59.999,12949263.35760,32374,9408664,6653975.59980,0
2024-04-25 03:00:00,0.712,0.7147,0.7045,0.7088,21121702.0,2024-04-25 03:59:59.999,14975501.34250,31920,10423426,7387101.77100,0
2024-04-25 04:00:00,0.7089,0.7108,0.6951,0.7105,28886624.0,2024-04-25 04:59:59.999,20332919.82530,41821,14008942,9862302.31070,0
2024-04-25 05:00:00,0.7106,0.7133,0.7049,0.7089,13181622.0,2024-04-25 05:59:59.999,9340711.79250,23039,6144524,4354376.89970,0
2024-04-25 06:00:00,0.709,0.7125,0.7079,0.71,6447967.0,2024-04-25 06:59:59.999,4577300.86150,15707,3495966,2482054.71890,0
2024-04-25 07:00:00,0.71,0.7118,0.7013,0.7034,9774394.0,2024-04-25 07:59:59.999,6903692.35660,19686,5036669,3555854.76550,0
2024-04-25 08:00:00,0.7034,0.7079,0.698,0.7013,13334747.0,2024-04-25 08:59:59.999,9362544.40620,25108,6670306,4683546.88540,0
2024-04-25 09:00:00,0.7014,0.7071,0.6975,0.7004,10574544.0,2024-04-25 09:59:59.999,7423341.58790,20552,5272552,3701449.97010,0
2024-04-25 10:00:00,0.7005,0.7005,0.6907,0.6955,24953159.0,2024-04-25 10:59:59.999,17321965.93570,37841,12272346,8517664.46280,0
2024-04-25 11:00:00,0.6955,0.7051,0.694,0.7039,10537858.0,2024-04-25 11:59:59.999,7379533.58740,24153,5316838,3723193.66910,0
2024-04-25 12:00:00,0.704,0.7119,0.6983,0.7007,16756935.0,2024-04-25 12:59:59.999,11809432.48680,36112,8167222,5755779.47080,0
2024-04-25 13:00:00,0.7008,0.7066,0.6945,0.705,20978864.0,2024-04-25 13:59:59.999,14694715.12250,41639,11389008,7978983.71770,0
2024-04-25 14:00:00,0.7051,0.7143,0.7034,0.7067,20152101.0,2024-04-25 14:59:59.999,14293086.02830,34085,10001420,7094047.18760,0
2024-04-25 15:00:00,0.7067,0.7186,0.7043,0.7176,17181341.0,2024-04-25 15:59:59.999,12243613.08200,31061,8311766,5921402.31100,0
2024-04-25 16:00:00,0.7176,0.7203,0.7119,0.7163,21100210.0,2024-04-25 16:59:59.999,15101774.70490,30695,11051807,7910219.30070,0
2024-04-25 17:00:00,0.7162,0.7207,0.714,0.7202,13090228.0,2024-04-25 17:59:59.999,9393207.89160,22896,6193578,4444378.91700,0
2024-04-25 18:00:00,0.7203,0.7256,0.7171,0.7253,15337835.0,2024-04-25 18:59:59.999,11065074.24690,25619,8160944,5888857.07410,0
2024-04-25 19:00:00,0.7254,0.7256,0.7179,0.7227,9577487.0,2024-04-25 19:59:59.999,6913281.07400,17326,4060944,2930919.80630,0
2024-04-25 20:00:00,0.7227,0.7266,0.7196,0.7241,10602681.0,2024-04-25 20:59:59.999,7668153.97910,19931,5138780,3716599.16710,0
2024-04-25 21:00:00,0.7242,0.7275,0.7218,0.7223,6011313.0,2024-04-25 21:59:59.999,4354882.25650,13385,2833612,2052938.55050,0
2024-04-25 22:00:00,0.7222,0.7227,0.718,0.7183,7789765.0,2024-04-25 22:59:59.999,5609814.98200,13629,4155819,2992971.04520,0
2024-04-25 23:00:00,0.7183,0.7214,0.7164,0.7199,6822791.0,2024-04-25 23:59:59.999,4908287.28500,12804,3394409,2442042.97570,0
2024-04-26 00:00:00,0.72,0.7231,0.7125,0.7202,20910193.0,2024-04-26 00:59:59.999,15020090.08760,29652,10183283,7315279.60960,0
2024-04-26 01:00:00,0.7202,0.7269,0.709,0.7245,38519412.0,2024-04-26 01:59:59.999,27641910.13100,56888,19290415,13848360.20920,0
2024-04-26 02:00:00,0.7244,0.7317,0.721,0.7248,23376874.0,2024-04-26 02:59:59.999,16957918.08000,31887,11742785,8519255.07030,0
2024-04-26 03:00:00,0.7249,0.7299,0.7195,0.7227,16182843.0,2024-04-26 03:59:59.999,11721769.69480,24912,8009787,5801591.15320,0
2024-04-26 04:00:00,0.7227,0.7243,0.7167,0.7209,12517898.0,2024-04-26 04:59:59.999,9018504.32860,21051,5978108,4307275.57160,0
2024-04-26 05:00:00,0.7209,0.731,0.7198,0.7299,9075810.0,2024-04-26 05:59:59.999,6584184.69930,17540,4941758,3585871.94410,0
2024-04-26 06:00:00,0.7299,0.7309,0.7176,0.7178,18768754.0,2024-04-26 06:59:59.999,13579764.13790,26731,7947854,5750162.13650,0
2024-04-26 07:00:00,0.7178,0.7215,0.7129,0.7179,15696278.0,2024-04-26 07:59:59.999,11257058.06290,28861,7850090,5630617.17750,0
2024-04-26 08:00:00,0.7178,0.7232,0.7137,0.7168,14078378.0,2024-04-26 08:59:59.999,10115495.20950,23181,6799383,4885758.04800,0
2024-04-26 09:00:00,0.7168,0.7188,0.7139,0.7157,9659565.0,2024-04-26 09:59:59.999,6917517.40930,18228,4978726,3565865.11690,0
2024-04-26 10:00:00,0.7158,0.7174,0.7073,0.7088,12948159.0,2024-04-26 10:59:59.999,9209595.23570,21185,6056482,4308849.18140,0
2024-04-26 11:00:00,0.7088,0.7116,0.7069,0.7086,7068564.0,2024-04-26 11:59:59.999,5013653.52950,13910,3736184,2649824.79660,0
2024-04-26 12:00:00,0.7086,0.7149,0.7046,0.7083,15228054.0,2024-04-26 12:59:59.999,10809544.63360,24298,7862637,5582120.58630,0
2024-04-26 13:00:00,0.7083,0.7139,0.6995,0.7128,21839372.0,2024-04-26 13:59:59.999,15424666.36530,32627,10360281,7317399.41170,0
2024-04-26 14:00:00,0.7127,0.7192,0.7057,0.7071,21411588.0,2024-04-26 14:59:59.999,15254164.25370,33441,10206492,7271966.60670,0
