open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,sma_50,ema_50,rsi,macd,macd_signal,macd_hist,doji,hammer,close_lag_1
2024-04-21 05:00:00,1.0195906455482526,0.9620792043302668,1.0082062637478544,0.9737955759244935,-0.752674824201769,2024-04-21 05:59:59.999,4858246.0101,13581,3342168,2459250.9136,0,-0.9039364532436007,-0.5392706266189993,1.3401887543905775,2.2988423553310247,2.5341887158955867,-0.09170361322152645,0,0,1.0196482222305314
2024-04-21 06:00:00,0.9737172090335634,0.9815816531725893,1.0528962577083079,0.9432271450538002,-0.7975516786179074,2024-04-21 06:59:59.999,4531723.6608,14302,3281482,2414127.7404,0,-0.8233553505835086,-0.4693861798994223,1.262219462169195,2.1702016366678385,2.4973460631677353,-0.3732435434255407,100,0,0.9737955759244935
2024-04-21 07:00:00,0.9431349180237693,0.8489650010448132,0.922550441990318,0.9088376603242709,-0.6565940660010332,2024-04-21 07:59:59.999,5532621.8805,14907,3609255,2643493.0507,0,-0.740497386300343,-0.4041950003283198,1.1705732427114075,2.031621877049437,2.4377233752766183,-0.6220965744713025,0,0,0.9432271450538002
2024-04-21 08:00:00,0.912552627013975,0.8060596135917047,0.8704121157031187,0.7216060212412795,-0.6662303034017197,2024-04-21 08:59:59.999,5452468.8702,14256,3333789,2437601.6347,0,-0.6897134727074317,-0.352191707593393,0.6882037797956313,1.8329267648533174,2.346798330483862,-0.9640489173021995,0,0,0.9088376603242709
2024-04-21 09:00:00,0.7252360945789945,0.6617414921585378,0.7847562939455822,0.7139639135236072,-0.36741044201238837,2024-04-21 09:59:59.999,7579001.5975,16694,5329421,3879249.7275,0,-0.632296962212518,-0.3026616931405896,0.6689279701121429,1.6527385046182363,2.234857637796036,-1.1936274776773785,100,0,0.7216060212412795
2024-04-21 10:00:00,0.7175905218265428,0.6110351251685021,0.6842038075345586,0.6299007286292039,-0.40943998259557635,2024-04-21 10:59:59.999,7252862.0962,18901,4737733,3437620.812,0,-0.582601982439336,-0.25984730035463016,0.45132319798576553,1.4621495365909798,2.1038417123585726,-1.4020086085065915,0,0,0.7139639135236072
2024-04-21 11:00:00,0.6296664351733882,0.6929454103062511,0.6916521398613042,0.6069744054761829,-0.37341167079480453,2024-04-21 11:59:59.999,7528858.7959,17330,5135230,3734002.8904,0,-0.533797948518665,-0.22001370377116544,0.39095222461039614,1.2871468644083912,1.9609564600050655,-1.5316711818240123,100,0,0.6299007286292039
2024-04-21 12:00:00,0.6105525032922695,0.49402043211458047,0.49054716703925694,0.37006906622831753,-0.17620150321376216,2024-04-21 12:59:59.999,8877115.7691,20156,5423970,3914037.5304,0,-0.4943983430411216,-0.19519414655319176,-0.19096664947542438,1.0508793543433015,1.795247342348737,-1.7810030208699101,0,0,0.6069744054761829
2024-04-21 13:00:00,0.36971696159014383,0.31849839253370027,0.22613136943990203,0.16755321170998158,0.26039019198560315,2024-04-21 13:59:59.999,11904367.694,24190,8325692,5964601.3116,0,-0.46044340666223627,-0.1828471422327835,-0.6131770429990449,0.781434047175479,1.6040611736459176,-2.059318718347428,0,0,0.37006906622831753
2024-04-21 14:00:00,0.1632864972740404,0.18198125063746057,0.27826969572710136,0.1904795348630026,-0.1736219469378609,2024-04-21 14:59:59.999,8819960.3501,19384,6490952,4643939.9602,0,-0.4254985304472308,-0.1696825337532613,-0.554571234861936,0.5685790677369912,1.4048048100106358,-2.147478918965201,0,0,0.16755321170998158
2024-04-21 15:00:00,0.19004600190761087,0.29899594369138216,0.3490288528311504,0.33185852763995205,-0.47371029331600845,2024-04-21 15:59:59.999,6725734.0703,16515,4662237,3348962.9121,0,-0.3947114015439189,-0.1490064152534883,-0.19900680744409807,0.44426533610335744,1.2183547832691575,-2.007580287124843,0,0,0.1904795348630026
2024-04-21 16:00:00,0.33148909782790215,0.2209861483221011,-0.16490607771407206,-0.07699423525555603,1.999750059968845,2024-04-21 16:59:59.999,23959097.0919,48823,15657768,11097004.766,0,-0.3690719597884318,-0.15235656552113902,-0.985686602052412,0.19667080835250378,1.0153296093486521,-2.188650052205009,0,0,0.33185852763995205
